iter	Passed	Remaining
399	38311	57466
400	38403	57365
401	38518	57298
402	38626	57221
403	38790	57225
404	38898	57147
405	39000	57060
406	39093	56959
407	39189	56862
408	39283	56763
409	39359	56639
410	39452	56538
411	39552	56448
412	39633	56331
413	39730	56236
414	39824	56138
415	39903	56018
416	39996	55918
417	40101	55834
418	40190	55729
419	40285	55632
420	40367	55517
421	40463	55422
422	40540	55300
423	40653	55226
424	40742	55121
425	40865	55063
426	40974	54983
427	41084	54907
428	41199	54836
429	41316	54768
430	41427	54691
431	41530	54604
432	41631	54515
433	41744	54440
434	41832	54334
435	41934	54245
436	42053	54179
437	42154	54088
438	42267	54014
439	42367	53922
440	42464	53827
441	42560	53730
442	42655	53632
443	42743	53525
444	42824	53409
445	42908	53299
446	43012	53212
447	43121	53131
448	43242	53066
449	43332	52962
450	43429	52866
451	43538	52785
452	43629	52682
453	43734	52596
454	43843	52515
455	43938	52417
456	44027	52312
457	44120	52212
458	44223	52124
459	44291	51994
460	44377	51886
461	44496	51815
462	44589	51716
463	44672	51604
464	44751	51488
465	44841	51385
466	44927	51277
467	45016	51172
468	45113	51077
469	45200	50970
470	45289	50866
471	45383	50768
472	45453	50643
473	45553	50550
474	45626	50429
475	45722	50332
476	45821	50240
477	45923	50150
478	46026	50062
479	46118	49962
480	46195	49845
481	46292	49749
482	46402	49668
483	46466	49538
484	46554	49434
485	46653	49341
486	46764	49261
487	46863	49168
488	46950	49063
489	47036	48955
490	47127	48855
491	47232	48768
492	47321	48665
493	47408	48559
494	47499	48459
495	47604	48371
496	47696	48272
497	47763	48147
498	47831	48022
499	47923	47923
500	48018	47826
501	48104	47720
502	48196	47621
503	48272	47505
504	48368	47410
505	48451	47302
506	48541	47201
507	48642	47110
508	48738	47015
509	48822	46907
510	48919	46812
511	49019	46721
512	49114	46624
513	49181	46502
514	49273	46403
515	49348	46287
516	49438	46187
517	49540	46097
518	49641	46006
519	49741	45915
520	49837	45820
521	49950	45740
522	50045	45643
523	50154	45559
524	50269	45482
525	50368	45388
526	50462	45291
527	50543	45182
528	50634	45082
529	50738	44994
530	50829	44894
531	50931	44804
532	51032	44713
533	51134	44622
534	51213	44512
535	51309	44416
536	51397	44314
537	51483	44210
538	51581	44117
539	51675	44019
540	51782	43933
541	51880	43840
542	51970	43739
543	52062	43640
544	52160	43546
545	52243	43440
546	52341	43346
547	52429	43244
548	52513	43139
549	52595	43032
550	52702	42945
551	52799	42851
552	52898	42758
553	53006	42673
554	53106	42581
555	53196	42480
556	53297	42389
557	53382	42284
558	53479	42190
559	53568	42089
560	53656	41987
561	53752	41892
562	53842	41792
563	53928	41689
564	54000	41575
565	54096	41480
566	54184	41379
567	54277	41281
568	54363	41178
569	54447	41074
570	54549	40983
571	54639	40884
572	54741	40793
573	54825	40689
574	54923	40595
575	55016	40498
576	55112	40403
577	55205	40306
578	55275	40191
579	55375	40099
580	55474	40006
581	55571	39911
582	55661	39812
583	55768	39725
584	55881	39642
585	55983	39551
586	56080	39456
587	56174	39360
588	56286	39276
589	56381	39180
590	56462	39074
591	56556	38978
592	56652	38882
593	56739	38781
594	56827	38680
595	56916	38581
596	57002	38478
597	57095	38381
598	57182	38280
599	57274	38182
600	57358	38079
601	57427	37967
602	57513	37865
603	57597	37762
604	57698	37671
605	57789	37573
606	57869	37467
607	57952	37364
608	58040	37264
609	58159	37184
610	58268	37097
611	58369	37005
612	58484	36922
613	58590	36833
614	58701	36747
615	58767	36634
616	58858	36536
617	58931	36427
618	59020	36327
619	59117	36233
620	59212	36138
621	59293	36033
622	59372	35928
623	59461	35829
624	59560	35736
625	59649	35637
626	59748	35544
627	59847	35451
628	59949	35359
629	60045	35265
630	60141	35169
631	60230	35071
632	60326	34976
633	60432	34886
634	60538	34797
635	60619	34693
636	60712	34597
637	60812	34504
638	60907	34409
639	61005	34315
640	61109	34225
641	61219	34137
642	61301	34035
643	61400	33941
644	61490	33843
645	61586	33748
646	61685	33655
647	61776	33557
648	61868	33460
649	61952	33358
650	62065	33272
651	62159	33177
652	62259	33084
653	62335	32978
654	62446	32891
655	62543	32797
656	62635	32700
657	62727	32603
658	62810	32501
659	62912	32409
660	63017	32318
661	63109	32222
662	63198	32123
663	63293	32028
664	63375	31926
665	63469	31830
666	63561	31733
667	63657	31638
668	63758	31545
669	63862	31454
670	63939	31350
671	64026	31250
672	64111	31150
673	64214	31059
674	64301	30959
675	64399	30866
676	64492	30769
677	64593	30677
678	64693	30584
679	64784	30487
680	64867	30385
681	64961	30289
682	65037	30185
683	65128	30088
684	65214	29989
685	65311	29894
686	65411	29801
687	65492	29700
688	65591	29606
689	65679	29508
690	65781	29416
691	65876	29320
692	65961	29220
693	66054	29124
694	66132	29022
695	66229	28927
696	66336	28837
697	66436	28744
698	66545	28655
699	66642	28560
700	66715	28456
701	66793	28353
702	66885	28257
703	66968	28157
704	67049	28056
705	67148	27962
706	67243	27867
707	67333	27770
708	67428	27675
709	67507	27573
710	67621	27486
711	67703	27385
712	67797	27290
713	67899	27197
714	67998	27104
715	68091	27008
716	68176	26909
717	68275	26815
718	68378	26723
719	68470	26627
720	68557	26529
721	68658	26436
722	68752	26341
723	68842	26243
724	68949	26153
725	69025	26050
726	69138	25962
727	69254	25875
728	69356	25782
729	69457	25689
730	69562	25598
731	69660	25504
732	69752	25407
733	69853	25314
734	69937	25215
735	70036	25121
736	70108	25018
737	70209	24925
738	70298	24828
739	70375	24726
740	70475	24633
741	70573	24538
742	70681	24448
743	70781	24354
744	70891	24265
745	70988	24170
746	71062	24067
747	71152	23971
748	71253	23878
749	71342	23780
750	71421	23680
751	71512	23583
752	71629	23495
753	71716	23398
754	71820	23305
755	71926	23214
756	72025	23120
757	72107	23020
758	72231	22935
759	72316	22836
760	72391	22735
761	72491	22641
762	72582	22545
763	72683	22452
764	72781	22357
765	72874	22261
766	72986	22172
767	73083	22077
768	73185	21984
769	73279	21888
770	73364	21790
771	73458	21694
772	73553	21599
773	73647	21504
774	73743	21409
775	73851	21317
776	73941	21221
777	74043	21128
778	74133	21031
779	74226	20935
780	74324	20841
781	74413	20744
782	74518	20652
783	74635	20562
784	74737	20469
785	74834	20374
786	74928	20279
787	75008	20179
788	75100	20083
789	75205	19991
790	75298	19895
791	75377	19796
792	75475	19701
793	75560	19603
794	75633	19502
795	75735	19409
796	75837	19316
797	75933	19221
798	76027	19125
799	76124	19031
800	76219	18935
801	76287	18834
802	76379	18738
803	76474	18642
804	76571	18548
805	76661	18452
806	76763	18358
807	76856	18262
808	76945	18166
809	77044	18072
810	77142	17977
811	77236	17882
812	77336	17788
813	77454	17698
814	77557	17605
815	77662	17512
816	77758	17417
817	77854	17322
818	77941	17225
819	78038	17130
820	78127	17033
821	78237	16941
822	78316	16843
823	78408	16747
824	78506	16652
825	78585	16554
826	78670	16457
827	78772	16363
828	78857	16266
829	78963	16173
830	79068	16080
831	79166	15985
832	79261	15890
833	79352	15794
834	79433	15696
835	79520	15599
836	79630	15507
837	79731	15413
838	79827	15318
839	79919	15222
840	80002	15125
841	80110	15032
842	80217	14939
843	80326	14847
844	80426	14752
845	80522	14657
846	80633	14565
847	80729	14470
848	80836	14377
849	80931	14282
850	81014	14184
851	81116	14090
852	81221	13997
853	81308	13900
854	81382	13801
855	81483	13707
856	81592	13614
857	81684	13518
858	81781	13423
859	81882	13329
860	81977	13234
861	82062	13137
862	82147	13040
863	82241	12945
864	82355	12853
865	82458	12759
866	82566	12665
867	82672	12572
868	82785	12479
869	82892	12386
870	82992	12291
871	83093	12197
872	83190	12102
873	83303	12009
874	83402	11914
875	83517	11822
876	83628	11728
877	83708	11631
878	83798	11535
879	83905	11441
880	84013	11348
881	84122	11254
882	84212	11158
883	84290	11060
884	84402	10967
885	84542	10877
886	84658	10785
887	84764	10690
888	84876	10597
889	84984	10503
890	85080	10408
891	85166	10311
892	85265	10216
893	85387	10124
894	85495	10030
895	85611	9937
896	85714	9842
897	85816	9747
898	85913	9652
899	86008	9556
900	86095	9460
901	86186	9363
902	86287	9268
903	86387	9173
904	86484	9078
905	86581	8983
906	86679	8887
907	86776	8792
908	86876	8697
909	86972	8601
910	87087	8507
911	87187	8412
912	87256	8314
913	87326	8216
914	87408	8119
915	87511	8025
916	87608	7929
917	87688	7832
918	87792	7738
919	87883	7642
920	87998	7548
921	88119	7454
922	88234	7360
923	88332	7265
924	88433	7170
925	88539	7075
926	88642	6980
927	88737	6884
928	88825	6788
929	88921	6693
930	89019	6597
931	89110	6501
932	89183	6404
933	89263	6307
934	89356	6211
935	89446	6115
936	89516	6018
937	89594	5922
938	89704	5827
939	89787	5731
940	89889	5636
941	89987	5540
942	90074	5444
943	90142	5347
944	90211	5250
945	90298	5154
946	90373	5057
947	90461	4962
948	90588	4868
949	90711	4774
950	90887	4682
951	91046	4590
952	91203	4497
953	91307	4402
954	91409	4307
955	91498	4211
956	91627	4117
957	91737	4021
958	91817	3925
959	91942	3830
960	92075	3736
961	92168	3640
962	92258	3544
963	92372	3449
964	92471	3353
965	92531	3256
966	92605	3160
967	92698	3064
968	92795	2968
969	92899	2873
970	92991	2777
971	93086	2681
972	93185	2585
973	93272	2489
974	93394	2394
975	93499	2299
976	93609	2203
977	93725	2108
978	93849	2013
979	93948	1917
980	94056	1821
981	94168	1726
982	94264	1630
983	94359	1534
984	94455	1438
985	94555	1342
986	94630	1246
987	94743	1150
988	94849	1054
989	94962	959
990	95112	863
991	95239	768
992	95363	672
993	95510	576
994	95673	480
995	95810	384
996	95953	288
997	96194	192
998	96427	96
999	96577	0
